[2026-09-01 17:32:19.550780] MEMORY_SPIKE | proc=svchost.exe pid=5416 exe=C:\Windows\System32\svchost.exe | mem=38MB is z=3.4 above its own baseline (avg 12MB)
[2026-09-01 17:32:19.550780] MEMORY_SPIKE | proc=svchost.exe pid=7900 exe=C:\Windows\System32\svchost.exe | mem=36MB is z=3.1 above its own baseline (avg 12MB)
[2026-09-01 17:32:19.550780] MEMORY_SPIKE | proc=svchost.exe pid=8060 exe=C:\Windows\System32\svchost.exe | mem=35MB is z=3.0 above its own baseline (avg 12MB)
[2026-09-01 17:32:19.550780] MEMORY_SPIKE | proc=chrome.exe pid=16476 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | mem=758MB is z=3.2 above its own baseline (avg 132MB)
[2026-09-01 17:32:19.550780] CPU_SPIKE | proc=chrome.exe pid=19024 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | cpu=10.6% is z=3.3 above its own baseline (avg 0.6%)
[2026-09-01 17:32:19.550780] HIGH_CONNECTION_COUNT | proc=chrome.exe pid=19220 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | 61 simultaneous network connections
[2026-09-01 17:32:19.550780] MEMORY_SPIKE | proc=chrome.exe pid=26144 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | mem=1477MB is z=6.9 above its own baseline (avg 132MB)
[2026-09-01 17:32:35.897624] HIGH_CONNECTION_COUNT | proc=System Idle Process pid=0 exe= | 198 simultaneous network connections
[2026-09-01 17:32:35.897624] MEMORY_SPIKE | proc=chrome.exe pid=4652 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | mem=922MB is z=4.1 above its own baseline (avg 132MB)
[2026-09-01 17:32:35.897624] MEMORY_SPIKE | proc=svchost.exe pid=5408 exe=C:\Windows\System32\svchost.exe | mem=37MB is z=3.2 above its own baseline (avg 12MB)
[2026-09-01 17:32:35.897624] MEMORY_SPIKE | proc=svchost.exe pid=5416 exe=C:\Windows\System32\svchost.exe | mem=38MB is z=3.4 above its own baseline (avg 12MB)
